chapter,page,line,cam_1882,cam_NYE,change_type,is_dialogue_tag,art_reference,art_topic
30,306,19,When did you give them up,When did you give them up,,,,
30,306,29,I wish very much that you would play,I wish very much you'd play,,,,
30,306,30,papa wishes very much,papa has the idea,,,,
30,306,32,And I have no voiceójust a little thread.,And I've no voiceójust a small sound like the squeak of a slate-pencil making flourishes.,,,,TRUE
30,307,1,"she kissed the child good-bye, and held her a moment, looking at her. ""Be a good child,"" she said;","she kissed the child good-bye, held her close, looked at her long. ""Be very good,"" she said;",,,,
30,307,5,an interest which she felt it almost a torment to be obliged to conceal,an interest which she felt it to be almost a torment that she was obliged to conceal from the child,,,,
30,307,13,and of leaving an audible trace of her emotion behind,and of exhaling into that air where he might still have a subtle sense for it any breath of her charmed state,,,,
30,307,14,she had stayed only an hour!,she had stayed only an hour.,,,,
30,307,16,"drawing the child's little tender person closer,",drawing the child's sweet slimness closer,,,,
30,307,18,talking about Gilbert Osmond,talking of Gilbert Osmond,,,,
30,307,19,who was near to him,who was so near him,,,,
30,307,20,she said not another word; she only kissed Pansy once more,she said no other word; she only kissed Pansy once again,,,,
30,307,21,the door which opened into the court; and there Pansy stopped,the door that opened on the court; and there her young hostess stopped,,,,
30,307,24,"""I may go no further,"" she said. ""I have promised papa not to go out of this door.""ù","""I may go no further. I've promised papa not to pass this door.""ù",,,,
30,307,33,a wider gleam as it opened,a wider dazzle as it opened,,,,
31,308,5,"her return to the Palazzo Crescentini,",her return to Palazzo Crescentini,,,,
31,308,5,the incidents I have just narrated,the incidents just narrated,,,,
31,308,15,"Our young lady stood for some time at the window, with her hands clasped behind her, gazing into the brilliant aperture in the manner of a person relapsing into reverie. She was pre-occupied; she was too restless to sit down, to work, to read. It was evidently not her design, however, to catch a glimpse","Our young woman stood near it for some time, her hands clasped behind her; she gazed abroad with the vagueness of unrest. Too troubled for attention she moved in a vain circle. Yet it could not be in her thought to catch a glimpse",,,,
31,308,16,into the house; for the entrance,"into the house, since the entrance",,,,
31,308,18,She was endeavouring rather to anticipate his arrival,She wished rather to forestall his arrival,,,,
31,308,26,"She was extremely grave; not sad exactly, but deeply serious. The lapse of a year may doubtless account for a considerable increase of gravity; though this will depend a good deal upon the manner in which the year has been spent. Isabel had spent hers in seeing the world; she had moved about; she had travelled; she had exerted herself with an almost passionate activity. She was now, to her own sense, a very different person","Grave she found herself, and positively more weighted, as by the experience of the lapse of the year she had spent in seeing the world. She had ranged, she would have said, through space and surveyed much of mankind, and was therefore now, in her own eyes, a very different person",,,,
31,308,27,who had begun to see Europe upon the lawn,who had begun to take the measure of Europe on the lawn,,,,
31,308,29,"She flattered herself that she had gathered a rich experience, that she knew a great deal more",She flattered herself she had harvested wisdom and learned a great deal more,,,,
31,309,4,With several of the figures concerned in these combinations,With several of the images that might have been projected on such a field,,,,
31,309,6,who came out,who had come out,,,,
31,309,7,"with Isabel. She left her husband behind her, but she brought her children","with her relative. She had left her husband behind her, but had brought her children",,,,
31,309,14,Isabel confined her movements,Isabel had confined her movements,,,,
31,309,18,a resting-place in such upward wanderings,a resting-place for such upward wanderings,,,,
31,309,24,"Afterwards they had come to Paris, a city beloved by Lily, but less appreciated by Isabel, who in those days was constantly thinking of Rome. Mrs. Ludlow enjoyed Paris, but she was nevertheless somewhat disappointed and puzzled; and after her husband had joined her she was in addition a good deal depressed at not being able to induce him to enter into these somewhat subtle and complex emotions.","They had afterwards reached the French capital, which was worshipped, and with costly ceremonies, by Lily, but thought of as noisily vacant by Isabel, who in these days made use of her memory of Rome as she might have done, in a hot and crowded room, of a phial of something pungent hidden in her handkerchief. Mrs. Ludlow sacrificed, as I say, to Paris, yet had doubts and wonderments not allayed at that altar; and after her husband had joined her found further chagrin in his failure to throw himself into these speculations.",,,,
31,309,25,They all had Isabel for their object,They all had Isabel for subject,,,,
31,309,27,Mrs. Ludlow's feelings were various.,Mrs. Ludlow's mental motions were sufficiently various.,,,,
31,309,28,for Isabel to come home,for that young woman to come home,,,,
31,309,32,not marrying some gentleman of rank in one of the foreign countries,not marrying some member of one of the great aristocracies,,,,
31,309,33,she was rather disappointed,she had fallen from high communion with the probabilities,,,,
31,309,36,her sister's slender but eminent figure,"her sister's slightly meagre, but scarce the less eminent figure",,,,
31,310,9,any privilege that she enjoyed,any privilege she enjoyed,,,,
31,310,14,she had not made these honourable victories public,she had not rendered these honourable victories public,,,,
31,310,20,"It entertained her more to say nothing, and she had no idea of asking poor Lily's advice. But Lily knew nothing of these rich mysteries, and it is no wonder, therefore, that she pronounced her sister's career in Europe rather dulló","It was more romantic to say nothing, and, drinking deep, in secret, of romance, she was as little disposed to ask poor Lily's advice as she would have been to close that rare volume forever. But Lily knew nothing of these discriminations, and could only pronounce her sister's career a strange anticlimaxó",,,,
31,310,23,her sister was really losing her gaiety,she had lost her courage,,,,
31,310,24,So very strange a result,So uncanny a result,,,,
31,310,29,"Isabel's gaiety, howeverósuperficially speaking, at leastóexhibited itself rather more after her sister had gone home. She could imagine something more poetic than spending the winter in Paris","Our young lady's courage, however, might have been taken as reaching its height after her relations had gone home. She could imagine braver things than spending the winter in Paris",,,,
31,310,30,"Paris was like smart, neat prose","Paris had sides by which it so resembled New York, Paris was like smart, neat prose",,,,
31,310,31,her frequent correspondence with Madame Merle did much to stimulate such fancies,her close correspondence with Madame Merle did much to stimulate such flights,,,,
31,310,34,the latter days of November,the last days of November,,,,
31,310,34,the train which was to convey poor Lily,the train that was to convey poor Lily,,,,
31,310,36,It had been good for her to have them with her,It had been good for her to regale,,,,
31,311,12,"There was something exciting in the feeling,","There was a deep thrill in it all,",,,,
31,311,15,our young lady was unattended,our heroine was unattended,,,,
31,311,31,a fresher field for her talents,a fresher field for her genius,,,,
31,311,33,he would soon come over and see her,he would soon come over to see her,,,,
31,311,34,to apologise for not coming just then to Florence,to apologise for not presenting herself just yet in Florence,,,,
31,311,36,of no more use than soap-bubbles,of no more use to her than bubbles,,,,
31,312,2,what one would have done,"what one ""would"" have done",,,,
31,312,4,it was not so frank as it seemed,not so frank as it pretended,,,,
31,312,6,she thought it was a sign that there was nothing going on with Gilbert Osmond,she took it for a sign that Gilbert Osmond was less in question there than formerly,,,,
31,312,8,"to see whether Mr. Osmond would now go to Rome, and took some comfort in learning that he was not guilty of an absence","to see if he would now find a pretext for going to Rome, and derived some comfort from learning that he had not been guilty of an absence",,,,
31,312,17,her restlessness prevailed,a certain incoherence prevailed in her,,,,
31,312,18,"Isabel travelled rapidly, eagerly, audaciously",Isabel travelled rapidly and recklessly,,,,
31,312,19,"Madame Merle, for the present, was a most efficient duenna.","Madame Merle meanwhile, as lady-in-waiting to a princess circulating incognita, panted a little in her rear.",,,,
31,312,21,she imparted all necessary dignity to the girl's uncountenanced condition,she imparted all due dignity to the girl's uncountenanced state,,,,
31,312,23,"She played her part with the sagacity that might have been expected of her; she effaced herself, she accepted the position of a companion","She played her part with the tact that might have been expected of her, effacing herself and accepting the position of a companion",,,,
31,312,24,this graceful pair,this reserved though striking pair,,,,
31,312,26,which was the patroness and which the client,which was patroness and which client,,,,
31,312,28,"To say that Madame Merle improved on acquaintance would misrepresent the impression she made upon Isabel, who had thought her from the first a perfectly enlightened woman.","To say that Madame Merle improved on acquaintance states meagrely the impression she made on her friend, who had found her from the first so ample and so easy.",,,,
31,312,29,Isabel felt that she knew,Isabel felt she knew,,,,
31,312,31,Madame Merle had also at last redeemed her promise,the admirable woman had also at last redeemed her promise,,,,
31,312,34,"the late M. Merle, an adventurer of the lowest class,","concerned the late M. Merle, a positive adventurer, she might say, though originally so plausible,",,,,
31,313,2,that Isabel wondered the poor lady had kept so much of her freshness,that her companion wondered a person so √©prouv√©e could have kept so much of her freshness,,,,
31,313,4,"she saw that it was, after all, a tolerably artificial bloom. Isabel liked her","she seemed to see it as professional, as slightly mechanical, carried about in its case like the fiddle of the virtuoso, or blanketed and bridled like the ""favourite"" of the jockey. She liked her",,,,
31,313,5,a certain corner of the curtain,a corner of the curtain,,,,
31,313,6,Madame Merle had remained after all a foreigner,"she had remained after all something of a public performer, condemned to emerge only in character and in costume",,,,
31,313,7,she belonged to the old world,"she belonged to the ""old, old"" world",,,,
31,313,9,the product of a different clime from her own,"she was the product of a different moral or social clime from her own,",,,,
31,313,9,Isabel believed,She believed then,,,,
31,313,12,Isabel suspected that her friend had esoteric views,"our young woman had a sense in her of values gone wrong or, as they said at the shops, marked down",,,,
31,313,13,She believed,She considered,,,,
31,313,13,morality which differed from her own,morality differing from her own,,,,
31,313,17,"a woman who had raised delicate kindness to an art, and whose nature was too large for the narrow ways of deception",a person who had raised delicate kindness to an art and whose pride was too high for the narrow ways of deception,,,,
31,313,18,Her conception of human motives was different from Isabel's,"Her conception of human motives might, in certain lights, have been acquired at the court of some kingdom in decadence",,,,
31,313,24,"Once or twice Isabel had a sort of fright, but the reader will be amused at the cause of it. Madame Merle, as we know, comprehended, responded, sympathised, with wonderful readiness; yet it had nevertheless happened that her young friend mentally exclaimedó","She had once or twice had a positive scare; since it so affected her to have to exclaim, of her friend,",,,,
31,313,26,"this discovery operated as a shock; it left Isabel with a vague horror,","this discovery operated as a shock, left her with a vague dismay",,,,
31,313,27,The horror of course subsided,The dismay of course subsided,,,,
31,313,29,it left a sort of high-water-mark in the development of this delightful intimacy,it stood for a high-water-mark in the ebb and flow of confidence,,,,
31,313,32,"Madame Merle had once said that, in her belief, when a friendship ceased to grow, it immediately began to declineóthere was no point of equilibrium between liking a person more and liking him less.",Madame Merle had once declared her belief that when a friendship ceases to grow it immediately begins to declineóthere being no point of equilibrium between liking more and liking less.,,,,
31,314,3,"Without estimating the value of this doctrine, I may say that if Isabel's imagination, which had hitherto been so actively engaged on her friend's behalf, began at last to languish, she enjoyed her society not a particle less than before. If their friendship had declined, it had declined to a very comfortable level. The truth is that in these days the girl had other uses for her imagination, which was better occupied than it had ever been.","However that might be, the girl had in these days a thousand uses for her sense of the romantic, which was more active than it had ever been.",,,,
31,314,8,as these emotions had been,as these emotions had remained,,,,
31,314,10,"Gilbert Osmond came down from Florence,",Gilbert Osmond descended from Florence,,,,
31,314,14,she should now be very happy,she should now rejoice,,,,
31,314,15,at the Palazzo Crescentini,at Palazzo Crescentini,,,,
31,314,16,Isabel found her aunt alone,She found her aunt alone,,,,
32,315,2,"at the window, where we found her",at the window near which we found her,,,,
32,315,3,the matters that I have just rapidly sketched,the matters I have rapidly sketched,,,,
32,315,4,"She was not thinking of the past, but of the future; of the immediate, impending hour.","She was not turned to the past, but to the immediate, impending hour.",,,,
32,315,7,the interesting speculation,the interesting issue,,,,
32,315,14,"It could be nothing agreeable; Isabel was convinced of this, and the conviction had something to do with her being rather paler than usual. For the rest, however, she wore her natural brightness of aspect; even deep grief, with this vivid young lady, would have had a certain soft effulgence. She had laid aside her mourning, but she was still very simply dressed, and as she felt a good deal older than she had done a year before, it is probable that to a certain extent she looked so.","It could be nothing in the least soothingóshe had warrant for this, and the conviction doubtless showed in the cloud on her brow. For the rest, however, all clearness reigned in her; she had put away her mourning and she walked in no small shimmering splendour. She only felt olderóever so much, and as if she were ""worth more"" for it, like some curious piece in an antiquary's collection.",,,,
32,315,14,She was not left indefinitely,She was not at any rate left indefinitely,,,,
32,315,16,"the servant at last came in and presented her a card. ""Let the gentleman come in,"" said Isabel, who continued to gaze","a servant at last stood before her with a card on his tray. ""Let the gentleman come in,"" she said, and continued to gaze",,,,
32,315,24,"Whether on his side Mr. Goodwood felt himself older than on the first occasion of our meeting him, is a point which we shall perhaps presently ascertain;",Whether his sense of maturity had kept pace with Isabel's we shall perhaps presently ascertain;,,,,
32,315,25,Isabel's critical glance,her critical glance,,,,
32,315,25,"Straight, strong, and fresh,","Straight, strong and hard,",,,,
32,316,1,"he looked too deliberate, too serious to be young, and too eager, too active to be old. Old he would never be, and this would serve as a compensation for his never having known the age of chubbiness. Isabel perceived that his jaw had quite the same voluntary look that it had worn in earlier days; but she was prepared to admit that such a moment as the present was not a time for relaxation.","if he had neither innocence nor weakness, so he had no practical philosophy. His jaw showed the same voluntary cast as in earlier days; but a crisis like the present had in it of course something grim.",,,,
32,316,4,"""Poor fellow,"" she mentally murmured,","""Poor fellow,",,,,
32,316,5,what a pity that he should waste his splendid force!,what a pity he should waste so dreadfully his splendid force!,,,,
32,316,8,I hoped that you wouldn't come.,I hoped you wouldn't come!,,,,
32,316,9,Caspar Goodwood looked about,he looked about,,,,
32,316,10,he meant to stay a little,he meant to settle,,,,
32,316,12,"generously, as she thought","and generously, as she thought",,,,
32,316,14,"Never; I wish I had. When did you arrive here?""ù","Never; I wish I had! When did you arrive?""ù",,,,
32,316,19,"as if you were coming to a funeral,"" Isabel said, forcing a smile, in order to offer such encouragement as she might to an easy treatment of their situation.","as if you were coming to bury me!"" And she forced a smile of encouragement to an easy view of their situation.",,,,
32,316,21,"She had reasoned out the matter elaborately; she had made it perfectly clear that she broke no faith, that she falsified no contract","She had reasoned the matter well out, making it perfectly clear that she broke no faith and falsified no contract",,,,
32,316,21,afraid of him,afraid of her visitor,,,,
32,316,25,his stiff persistencyóa persistency in which there was almost a want of tact; especially as there was a dull dark beam in his eye which rested on her almost like a physical weight.,"his stiff insistence, an insistence in which there was such a want of tact; especially when the dull dark beam in his eye rested on her as a physical weight.",,,,
32,316,26,because I couldn't think,I couldn't think,,,,
32,316,27,"said Caspar Goodwood, plainly",he candidly declared,,,,
32,316,30,"""That is very selfish of you!"" Isabel cried,","""That's very selfish of you!"" she returned",,,,
32,316,31,others have a right,others have yet a right,,,,
32,316,35,I shall never feel anything. I mean anything but that.,I shall never feel anythingóI mean anything but that.,,,,
32,317,2,with a sort of dry deliberateness,with dry deliberateness,,,,
32,317,7,"she said, after a little, irrelevantly, by way of answer to Mr. Goodwood's speechó","she became, after a little, irrelevant.",,,,
32,317,9,"He threw up his head a moment, as if he were calculating.",He threw up his head as if calculating.,,,,
32,317,15,"said Isabel, smiling",she coldly smiled,,,,
32,317,20,Isabel asked him,she asked him,,,,
32,317,22,to talk about Henrietta Stackpole,to talk of Henrietta Stackpole,,,,
32,317,23,this young lady had come to see him,this young lady had been with him,,,,
32,317,24,"""She came to see you?""ù","""She came to see you?"" Isabel then demanded.",,,,
32,317,29,"""I didn't want to. She will hear it soon enough","""I didn't want to do that. She'll hear it quick enough",,,,
32,317,33,"""I guess she'll come out,"" he said.","""I guess she'll come right out,"" he said.",,,,
32,318,3,"Does she know Mr. Osmond?"" he asked.","""Does she know Mr. Osmond?"" he enquired.",,,,
32,318,5,Isabel added,she added,,,,
32,318,9,"""I don't know yet.",To which she made answer that she didn't know yet.,,,,
32,318,11,Caspar Goodwood asked,he demanded,,,,
32,318,14,only asking questions,"only asking questions, doing it quite without delicacy",,,,
32,318,16,"""What is Mr. Osmond?"" ""What is he? Nothing at all but a very good man.","""Who and what then is Mr. Gilbert Osmond?"" ""Who and what? Nobody and nothing but a very good and very honourable man.",,,,
32,318,20,was certainly small,"was, however, small",,,,
32,318,22,"""Where does he come from?"" he went on.","""Where does he come from? Where does he belong?""ù",,,,
32,318,23,"""From nowhere.","She had never been so little pleased with the way he said ""belawng."" ""He comes from nowhere.",,,,
32,318,24,that he was an American,he was American,,,,
32,318,28,"flushing a little, and defensively",flushing all defensively,,,,
32,318,32,Then he is very simple,Then he's very quiet and very simple,,,,
32,319,2,"Isabel replied, with a smile that had gradually become a trifle defiant",Isabel replied while her patience helped itself by turning a little to hardness,,,,
32,319,4,a nonentity,a perfect nonentity,,,,
32,319,6,he is a nonentity,he's a perfect nonentity,,,,
32,319,6,"You think he is a great man,","You think he's grand, you think he's great,",,,,
32,319,8,she thought this very clever of her companion,she felt this really acute of her companion,,,,
32,319,9,the clairvoyance of such a feeling as his,the aid that passion might render perceptions she had never taken for fine,,,,
32,319,15,Isabel broke out,she accordingly broke out,,,,
32,319,19,as you are,even just as you are,,,,
32,319,32,She came towards him,She came toward him,,,,
32,320,1,said Caspar,he said,,,,
32,320,7,"when she received that morning the note in which he told her that he was in Florence, and, with her permission, would come",on receiving early that day the news he was in Florence and by her leave would come within an hour to see her.,,,,
32,320,10,so full of implication,so full of heavy implications,,,,
32,320,16,a dumb misery about him which irritated her,a dumb misery about him that irritated her,,,,
32,320,18,she was as angry as a woman who had been in the wrong,she was angry in the way a woman is angry when she has been in the wrong,,,,
32,320,29,If he had not held himself hard,And if he had not meanwhile held himself hard,,,,
32,320,35,you said it so positively,you said it with such a manner,,,,
32,321,1,Isabel was silent an instant.,She considered this an instant.,,,,
32,321,8,no mistake at all,no mistake whatever,,,,
32,321,15,Even iron sometimes melts.,Even iron sometimes melts!,,,,
32,321,23,Isabel's humbleness,Her humbleness,,,,
32,321,30,Isabel murmured,she felt the poverty of her presently replying,,,,
32,321,31,"If you are afraid I am tired,",If you're afraid I'm knocked upóin any such way as tható,,,,
32,321,34,he said,he said without a quaver,,,,
32,321,36,And he went out. Five minutes after he had gone she burst into tears.,Five minutes after he had gone out she burst into tears.,,,,
33,322,1,was of brief duration,was soon smothered,,,,
33,322,10,and then she said to heró,and then she began.,,,,
33,322,12,looked at the girl,looked at her,,,,
33,322,28,without the gentleman being urged?,without the gentleman's having had to be lashed up?,,,,
33,322,31,took the trouble for him,took the trouble for him,,,,
33,323,5,you like him,you like him so much,,,,
33,323,6,I thought you liked him yourself.,I thought he even pleased you.,,,,
33,323,7,"I did,","He did, at one time;",,,,
33,323,12,since you did?,since others have done so?,,,,
33,323,13,"""I never wanted to marry him; there is nothing of him.""ù","""Others, at their wildest moments, never wanted to marry him. There's nothing of him,"" Mrs. Touchett explained.",,,,
33,323,15,No one is happy.,"No one's happy, in such doings, you should know.",,,,
33,323,17,What you will marry for,What you will marry for,,,,
33,323,25,But they give some other reason!,But they give some other reason.,,,,
33,323,28,to have some,to have a little,,,,
33,324,20,She told me that she,She told me she,,,,
33,325,8,"said Isabel, smiling",the girl smiled,,,,
33,325,12,"""I am glad of that!"" cried the girl, gaily.","""I'm glad of that!"" cried Isabel gaily.",,,,
33,325,15,I will say nothing more,I shall say nothing more,,,,
33,325,15,I will talk to others,I shall talk to others,,,,
33,325,20,"two ladies went to breakfast, where Mrs. Touchett was as good as her word, and made no allusion to Gilbert Osmond","the aunt and the niece went to breakfast, where Mrs. Touchett, as good as her word, made no allusion to Gilbert Osmond",,,,
33,325,25,"An American, of course. It is only an American that calls",An American gentleman of course. It's only an American gentleman who calls,,,,
33,325,31,"""He's an American truly.""ù","""He's an American gentleman truly.""ù",,,,
33,325,36,"in telling him the news, he betrayed at first no knowledge of the great fact","in imparting to him the great fact, he showed at first no open knowledge of it",,,,
33,326,1,Their first talk was naturally about his health,Their prompted talk was naturally of his health,,,,
33,326,5,Isabel wondered whether he were really worse or whether she was simply disaccustomed,she wondered if he were really worse or if she were simply disaccustomed,,,,
33,326,5,Poor Ralph grew no handsomer,Poor Ralph made no nearer approach to conventional beauty,,,,
33,326,9,"His face wore its pleasant perpetual smile, which perhaps suggested wit rather than achieved it","Blighted and battered, but still responsive and still ironic, his face was like a lighted lantern patched with paper and unsteadily held",,,,
33,326,18,the want of seriousness with which he appeared to regard a world,the want of seriousness marking his view of a world,,,,
33,326,19,his own presence,his own continued presence,,,,
33,326,21,These things were endeared by association,They had been sweetened by association,,,,
33,326,22,the conditions of his being so charming,the very terms on which it had been given him to be charming,,,,
33,326,22,Ralph was so charming,He was so charming,,,,
33,326,26,the luxury of being simply personal,the luxury of being exclusively personal,,,,
33,326,27,This personality of Ralph's was delightful; it had none of the staleness of disease; it was always easy and fresh and genial.,"The personality so resulting was delightful; he had remained proof against the staleness of disease; he had had to consent to be deplorably ill, yet had somehow escaped being formally sick.",,,,
33,326,29,she had given him,she had allowed him,,,,
33,326,31,but Isabel always had a dread of wasting compassion,she always had a dread of wasting that essence,,,,
33,326,32,it took no great ingenuity to discover,it took no great sensibility to feel,,,,
33,326,33,"He was a dear, bright, generous fellow;","He was a bright, free, generous spirit,",,,,
33,326,35,he was dying,he was distressfully dying,,,,
33,326,35,Isabel said to herself,Isabel noted afresh,,,,
33,327,3,her affection for her cousin,her affection for him,,,,
33,327,10,to please Ralph,to please him,,,,
33,327,11,it would be absurd to think it important,it would be absurd to regard as important,,,,
33,327,13,He had pretended to think she had better marry Lord Warburton,He had pretended to believe she had better have married Lord Warburton,,,,
33,327,15,the opposite one,the opposite,,,,
33,327,17,if she would only give her mind,should she only give her mind,,,,
33,327,19,wonderfully good-humoured,most patient and most indulgent,,,,
33,327,21,the more odd that he should say nothing,the more odd he should say nothing,,,,
33,327,22,Isabel became impatient,our young woman wearied of waiting,,,,
33,327,24,"his arrival at the Palazzo Crescentini,",his arrival at Palazzo Crescentini,,,,
33,327,26,which was even more sensibly chilling,which had been even more sensibly chilling,,,,
33,327,28,his cousin was lost,the person in the world in whom he was most interested was lost,,,,
33,327,30,in a great cane chair,on a great cane chair,,,,
33,327,30,with his long legs extended,his long legs extended,,,,
33,327,33,"If Isabel were irreclaimable,",If the girl were irreclaimable,,,,
33,327,36,to persuade her that the man to whom she had pledged her faith was a humbug would be decently discreet,to persuade her of anything sordid or sinister in the man to whose deep art she had succumbed would be decently discreet,,,,
33,328,5,at the Palazzo Crescentini,at Palazzo Crescentini,,,,
33,328,12,in the grey Italian shade,through the grey Italian shade,,,,
34,329,6,"The stillness of noontide hung over it; the warm shade was motionless, and the hot light made it pleasant.","The stillness of noontide hung over it, and the warm shade, enclosed and still, made bowers like spacious caves.",,,,
34,329,15,he was visibly preoccupied,he had visibly had something to brood over,,,,
34,329,15,she had attributed his long reveries,she had explained his air of absence,,,,
34,329,18,partly to his being troubled about certain arrangements he had made as to the property inherited from his fatheróarrangements of which Mrs. Touchett disapproved,partly by worries connected with the property inherited from his fatheróthe fruit of eccentric arrangements of which Mrs. Touchett disapproved,,,,
34,329,22,and he took no more interest,and took no more interest,,,,
34,329,23,you look tired,you look too tired,,,,
34,329,24,I feel tired.,I feel too tired.,,,,
34,329,27,"""What do you wish to arrive at?"" Isabel said,","""What do you wish to arrive at?"" she put to him,",,,,
34,329,30,"""Don't think too much of it,"" said Isabel, lightly.","""Don't think too much of it,"" she lightly returned.",,,,
34,330,2,the point I wish to fix,the point I want to fix,,,,
34,330,3,I had an idea that you have found me wanting in good manners;,I had an idea you may have found me wanting in good manners.,,,,
34,330,5,"I will tell you now,"" said Ralph.","I'll tell you now,"" Ralph said.",,,,
34,330,8,"He leaned back, with his head against the marble pedestal of Terpsichore,","He leaned back under the protection of Bernini, his head against his marble pedestal,",,,TRUE,TRUE
34,330,9,the sides of his wide chair,the rests of his wide chair,,,,
34,330,10,he hesitated for a long time,he hesitated long,,,,
34,330,13,the honour of her ingenious purpose,the honour of her high decision,,,,
34,330,14,"""I think I have hardly got over my surprise,"" he said at last.","""I think I've hardly got over my surprise,"" he went on at last.",,,,
34,330,18,"""If I like my cage, that needn't trouble you,"" said Isabel.","""If I like my cage, that needn't trouble you,"" she answered.",,,,
34,330,24,"""It doesn't seem to me so charming.""ù","""It doesn't look to me now, I admit, such an inviting expanse.""ù",,,,
34,330,27,one can't do that,one can't do anything so general,,,,
34,330,29,one must choose a good corner,one must choose as good a corner as possible,,,,
34,331,1,with a rather absurd smile,with rather an absurd smile,,,,
34,331,4,"""I might have struck a spark or two!""ù","""I might have struck a spark or two.""ù",,,,
34,331,6,The gentleness of this movement,The mildness of this movement,,,,
34,331,9,You wish to say that you don't like Mr. Osmond,You wish to say you don't like Mr. Osmond,,,,
34,331,11,"""I am afraid of you, not of him. If you marry him it won't be a nice thing to have said.""ù","""'Willing to wound and yet afraid to strike'? I'm willing to wound him, yesóbut not to wound you. I'm afraid of you, not of him. If you marry him it won't be a fortunate way for me to have spoken.""ù",,,,
34,331,14,it seems to me touching,it seems to me too touching,,,,
34,331,16,Isabel stroked,She stroked,,,,
34,331,23,Isabel raised her eyes,She raised her eyes,,,,
34,331,24,"""You have said it now; you will suffer for it.""ù","""You've said it now, and I'm glad you've made it so clear. But you'll suffer by it.""ù",,,,
34,331,34,Isabel went on,she went on,,,,
34,332,5,I see you have got some idea,I see you've some special idea,,,,
34,332,8,You will not move me at all,You'll not move me an inch,,,,
34,332,15,you would marry a man like Mr. Osmond,"you'd decide forówell, for that type",,,,
34,332,16,"""What do you know against him?","""What's the matter with Mr. Osmond's type, if it be one? His being so independent, so individual, is what I most see in him,"" the girl declared. ""What do you know against him?",,,,
34,332,18,you are running a risk,you're running a grave risk,,,,
34,332,19,Marriage is always a risk,Marriage is always a grave risk,,,,
34,332,20,let him recede; I wish he would.,let him back out. I wish to God he would.,,,,
34,332,21,"Isabel leaned back in her chair, folded her arms, and gazed","Isabel reclined in her chair, folding her arms and gazing",,,,
34,332,25,I thought,I believed,,,,
34,333,1,"Isabel waited a little, and then",Isabel waited a littleóthen,,,,
34,333,5,Mr. Osmond is the best I know; he is important enough for me.,"Mr. Osmond's the finest I know; he's good enough for me, and interesting enough, and clever enough. I'm far more struck with what he has and what he represents than with what he may lack.",,,,
34,333,6,"""I had a sort of vision of your future,"" Ralph said,","""I had treated myself to a charming vision of your future,"" Ralph observed",,,,
34,333,7,I amused myself with planning out a kind of destiny for you.,I had amused myself with planning out a high destiny for you.,,,,
34,333,9,"so easily, so soon",so easily or so soon,,,,
34,333,12,"""To come down? What strange expressions you use! Is that your description of my marriage?"" ""It expresses my idea of it.","""Come down, you say?"" ""Well, that renders my sense of what has happened to you.",,,,
34,333,15,down you drop,straight you drop,,,,
34,333,16,as if I,hurts me as if I,,,,
34,33,19,planning out my future,a project for my career,,,,
34,333,23,the girl asked,she pursued,,,,
34,333,24,a higher line,a higher plane,,,,
34,333,28,my dear Isabel!,my dear cousin.,,,,
34,333,31,"Ralph hesitated a moment, then he added, ""I can't get over the belief that there's something small in Osmond.""ù","Ralph hesitated, then added: ""I can't get over the sense that Osmond is somehowówell, small.""ù",,,,
34,333,33,He had uttered these last words with a tremor of the voice; he was afraid that she would flash out again.,He had uttered the last word with no great assurance; he was afraid she would flash out again.,,,,
34,333,35,"""Something small?"" she said reflectively.","""Small?"" She made it sound immense.",,,,
34,334,2,It's the proper way to respect others.,It makes one more sure to respect others.,,,,
34,334,4,to feel one's relations,to feel one's relation to thingsóto others,,,,
34,334,6,the relation in which he stands to me,his relation to me,,,,
34,334,14,his wife,his bride,,,,
34,334,15,an exquisite taste ruffled?,such a tasteóa really exquisite oneó ruffled?,,,,
34,334,18,"""Ah, that's wilful, that's unworthy of you!"" he cried.","""Ah, that's wilful, that's unworthy of you!",,,,
34,334,21,Ralph did the same,he did the same,,,,
34,334,24,"""You go too far,"" she murmured.","But ""You go too far,"" she simply breathed.",,,,
34,334,34,the wildness of despair.,the wildness of despair!,,,,
34,334,35,it is impossible that I should,it's impossible I should,,,,
34,335,3,if you are really alarmed. But I won't promise,if you're really alarmed; but I won't promise,,,,
34,335,6,"and then she went on,",and then went on,,,,
34,335,31,I am surprised that you should,I'm surprised that you should,,,,
34,335,35,You have got hold of some false idea; it's a pity,You've got hold of some false idea. It's a pity,,,,
34,335,36,an eye illuminated by a sentiment,an eye illumined by a sentiment,,,,
34,336,6,"She was superb, but she was eager; she was indifferent, but she was secretly trembling.","She was grand, but she was highly solicitous; she was indifferent, but she was all in a passion.",,,,
34,336,13,Lord Warburton's great advantages,his great advantages,,,,
34,336,16,Mr. Osmond is simply a manóhe is not a proprietor!,"Mr. Osmond's simply a very lonely, a very cultivated and a very honest manóhe's not a prodigious proprietor.",,,,
34,336,18,in reality,in truth,,,,
34,336,20,her passionate good faith,her ardent good faith,,,,
34,336,21,she was consistent,she was dismally consistent,,,,
34,336,23,"that she had invented a fine theory about Gilbert Osmond, and loved him,","that, having invented a fine theory about Gilbert Osmond, she loved him",,,,
34,336,26,Isabel's power to gratify her imagination,her power to meet the requirements of her imagination,,,,
